Title,Author,Runtime
Slow Productivity,Written by: Cal Newport,Length: 6 hrs and 18 mins
Generative AI,Written by: Harvard Business Review,Length: 3 hrs and 4 mins
Your Deceptive Mind: A Scientific Guide to Critical Thinking Skills,"Written by: Steven Novella, The Great Courses",Length: 12 hrs and 39 mins
Vaishali Ki Nagarvadhu [City of Vaishali],Written by: Acharya Chatursen,Length: 23 hrs and 53 mins
Kautilya Arthshastra (Hindi Edition),Written by: Chanakya,Length: 6 hrs
Kaisa Kutta Hai [What Kind of Dog Is That],Written by: Rahgir,Length: 2 hrs and 38 mins
An Economic History of the World since 1400,"Written by: Donald J. Harreld, The Great Courses",Length: 24 hrs and 25 mins
The Guy Next Door (Hindi Edition),Written by: Nylla C,Length: 36 hrs and 43 mins
A History of British India,"Written by: The Great Courses, Hayden J. Bellenoit",Length: 12 hrs and 11 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Written by: Munshi Premchand,Length: 7 hrs and 44 mins
Meri Gita,Written by: Devdutt Pattanaik,Length: 7 hrs and 39 mins
41 Anmol Kahaniya [41 Priceless Stories],Written by: Premchand,Length: 15 hrs and 28 mins
Gaban [Embezzlement],Written by: Munshi Premchand,Length: 11 hrs and 36 mins
Pride and Prejudice,Written by: Jane Austen,Length: 11 hrs and 35 mins
Forge Your Future,Written by: A. P. J. Kalam,Length: 5 hrs and 37 mins
Understanding the Mysteries of Human Behavior,"Written by: Mark Leary, The Great Courses",Length: 12 hrs and 11 mins
The Art of Influencing People,Written by: Virender Kapoor,Length: 38 mins
"The Sandman, Act I (Hindi Edition)","Written by: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 3 mins
Sunderkand (Hindi Edition),Written by: Goswami Tulsidas,Length: 3 hrs and 23 mins
Mahabharat Katha [Mahabharata Story],Written by: Amritlal Nagar,Length: 10 hrs and 41 mins
