home,away
Cadiz,Alaves
Alaves,Sevilla
Getafe,Alaves
Alaves,Valencia
Vallecano,Alaves
Alaves,Ath Bilbao
Celta,Alaves
Alaves,Osasuna
Alaves,Betis
Villarreal,Alaves
Ath Madrid,Alaves
Alaves,Almeria
Barcelona,Alaves
Alaves,Granada
Mallorca,Alaves
Alaves,Las Palmas
Girona,Alaves
Alaves,Real Madrid
Sociedad,Alaves
Sevilla,Alaves
Alaves,Cadiz
Almeria,Alaves
Alaves,Barcelona
Alaves,Villarreal
Betis,Alaves
Alaves,Mallorca
Osasuna,Alaves
Alaves,Vallecano
Almeria,Vallecano
Almeria,Real Madrid
Cadiz,Almeria
Almeria,Celta
Villarreal,Almeria
Almeria,Valencia
Sevilla,Almeria
Almeria,Granada
Ath Bilbao,Almeria
Girona,Almeria
Almeria,Las Palmas
Alaves,Almeria
Almeria,Sociedad
Getafe,Almeria
Almeria,Betis
Ath Madrid,Almeria
Almeria,Mallorca
Barcelona,Almeria
Osasuna,Almeria
Almeria,Girona
Real Madrid,Almeria
Almeria,Alaves
Valencia,Almeria
Almeria,Ath Bilbao
Granada,Almeria
Almeria,Ath Madrid
Celta,Almeria
Almeria,Sevilla
Ath Bilbao,Real Madrid
Osasuna,Ath Bilbao
Ath Bilbao,Betis
Mallorca,Ath Bilbao
Ath Bilbao,Cadiz
Alaves,Ath Bilbao
Ath Bilbao,Getafe
Sociedad,Ath Bilbao
Ath Bilbao,Almeria
Barcelona,Ath Bilbao
Ath Bilbao,Valencia
Villarreal,Ath Bilbao
Ath Bilbao,Celta
Girona,Ath Bilbao
Ath Bilbao,Vallecano
Granada,Ath Bilbao
Ath Bilbao,Ath Madrid
Ath Bilbao,Las Palmas
Sevilla,Ath Bilbao
Ath Bilbao,Sociedad
Valencia,Ath Bilbao
Cadiz,Ath Bilbao
Ath Bilbao,Mallorca
Almeria,Ath Bilbao
Ath Bilbao,Girona
Betis,Ath Bilbao
Ath Bilbao,Barcelona
Las Palmas,Ath Bilbao
Ath Madrid,Granada
Betis,Ath Madrid
Vallecano,Ath Madrid
Valencia,Ath Madrid
Ath Madrid,Real Madrid
Osasuna,Ath Madrid
Ath Madrid,Cadiz
Ath Madrid,Sociedad
Celta,Ath Madrid
Ath Madrid,Alaves
Las Palmas,Ath Madrid
Ath Madrid,Villarreal
Ath Madrid,Mallorca
Barcelona,Ath Madrid
Ath Madrid,Almeria
Ath Bilbao,Ath Madrid
Ath Madrid,Getafe
Ath Madrid,Sevilla
Girona,Ath Madrid
Granada,Ath Madrid
Ath Madrid,Valencia
Ath Madrid,Vallecano
Real Madrid,Ath Madrid
Sevilla,Ath Madrid
Ath Madrid,Las Palmas
Almeria,Ath Madrid
Ath Madrid,Betis
Cadiz,Ath Madrid
Getafe,Barcelona
Barcelona,Cadiz
Villarreal,Barcelona
Osasuna,Barcelona
Barcelona,Betis
Barcelona,Celta
Mallorca,Barcelona
Barcelona,Sevilla
Granada,Barcelona
Barcelona,Ath Bilbao
Barcelona,Real Madrid
Sociedad,Barcelona
Barcelona,Alaves
Vallecano,Barcelona
Barcelona,Ath Madrid
Barcelona,Girona
